1713443	2483.19
1048098	6195.79
201283	14231.78
916076	8823.5
1532383	27905.25
1124198	7567.38
1103982	60694.92
103379	21439.79
106535	16647.9
842162	6632.1
55785	36840.89
929872	19266.04
79879	22396.15
1306965	206949.28
320187	84236.69
849395	21737.22
1190723	18928.99
62996	8332.75
56594	22724.44
1608109	18143.9
1067318	69070.69
1099800	19585.97
814453	8908.74
1090727	87608.18
1513761	10350.47
27904	24656.72
769594	70461.1
1004315	39528.47
40987	11815.33
721371	17793.55
81061	28849.47
1123658	81160.39
745732	19476.47
1041061	26710.71
1532063	39052.09
92230	32552.89
1039765	43636.44
1159510	38212.11
1116578	43320.98
1545772	6854.3
921112	4619.4
712515	18202.86
1065280	57635.45
1174922	11973.08
920148	11389.87
1499620	13002.75
1492633	12363.59
773840	76216.62

